SUBJECT, LOG, ENEMIES_DOWN, BULLETS_FIRED, X, Y, Z, BULLET_HITS, HEALTH
919 , 4/13/2017 12:22:30 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:30 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:31 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:31 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:32 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:32 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:33 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:33 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:34 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:34 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:35 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:35 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:36 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:36 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

919 , 4/13/2017 12:22:37 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:22:55 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:22:56 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:22:56 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:22:57 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:22:57 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:22:58 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:22:58 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:22:59 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:22:59 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:23:00 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:23:00 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:23:01 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:23:01 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:23:02 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:23:02 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:23:03 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:23:03 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:23:04 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:23:04 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

322 , 4/13/2017 12:23:05 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:13 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:13 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:14 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

365 , 4/13/2017 12:23:14 PM , 0 , 0 , 0 , 0 , 0 , 0 , 100

